business name,owner/manager,contact email,city,website,business type (modality),estimated_opening_date
1Rebel,,,London,https://www.1rebel.com/en-gb,"hiit-bootcamp, pilates, reformer-pilates, strength-training",2025-05-15
1Rebel,,,London,https://www.1rebel.com/,"hiit-bootcamp, pilates, reformer-pilates, strength-training",2025-09-17
1Vybe Fitness,,,London,https://www.1vybefitness.co.uk/,"hiit-bootcamp, strength-training, stretching",2024-02-28
24N Fitness,,,London,https://www.24nfitness.com/,"hiit-bootcamp, strength-training",2023-12-13
8ROUNDS BOXING GYM,,,London,http://www.8roundsboxing.co.uk/,boxing,2025-12-03
Agape Fitness UK,,,London,http://agapefitnessuk.com/,personal-training,2024-12-16
ALIGNE STUDIO,,,London,https://alignestudio.co.uk/,"pilates, reformer-pilates, yoga",2025-09-14
AmitabhaGarden,,,London,https://www.amitabha-garden.com/,"yoga, martial-arts, mind-body",2024-02-27
annarch-movement-studio-london,,,London,https://www.stepsstudiosuk.com/,"dance, barre, low-impact-training, strength-training",2024-03-18
Apres London,,,London,https://www.apreslondon.co.uk/,"hiit-bootcamp, strength-training",2024-06-22
Arc Community,,,London,https://www.arc-community.com/,"yoga, running",2024-03-11
Arleta On Track,,,London,http://www.aotsports.com/,"yoga, hiit-bootcamp, boxing, strength-training",2024-07-18
Awaken London,,,London,http://www.awaken-london.com/,yoga,2024-03-27
Beautyrobics,,,London,https://www.rintofitness.co.uk/,strength-training,2025-04-17
Beyond Stretch - Private Sessions,,,London,https://www.beyondstretch.co.uk/,stretching,2025-01-20
Blanc Space Studios,,,London,https://www.blancspacestudios.com/,"barre, hiit-bootcamp, pilates, reformer-pilates, strength-training, yoga",2024-06-26
Blanc Space Studios,,,London,https://www.blancspacestudios.com/nhtimetable,"barre, hiit-bootcamp, low-impact-training, pilates, reformer-pilates, strength-training, yoga",2024-06-26
"Blood, Sweat & Tears",,,London,https://www.bstlagree.com/,"pilates, reformer-pilates",2024-08-21
boda-ballet-london,,,London,https://www.bodaballet.co.uk/,"dance, pilates",2025-03-06
BoxcleverLDN,,,London,https://www.boxcleverldn.com/,"hiit-bootcamp, boxing, strength-training, outdoors, running",2024-06-20
BREAFLEX,,,London,http://www.wellnest.london/,pilates,2024-07-02
BTK Fitness and Coaching,,,London,https://kawonderatraining.co.uk/,personal-training,2025-11-14
Bulba Studio,,,London,https://www.bulbastudio.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5139205066136594722,yoga,2024-07-23
capoeira-club-croydon,,,London,http://www.capoeiraclubcroydon.co.uk/,martial-arts,2024-02-03
ceci-studio-london,,,London,https://www.cecistudio.co.uk/,"dance, yoga, low-impact-training, pilates, reformer-pilates, strength-training, stretching",2024-12-18
Chandra Yoga,,,London,https://www.chandrayogawimbledon.com/,"yoga, prenatal-postnatal",2024-03-10
Changó,,,London,https://changosalsa.com/,dance,2024-10-27
Charteris Sport Fencing,,,London,https://charterissportfencing.com/,martial-arts,2024-08-18
Churchill’s Boxing Gym,,,London,https://churchillsboxinggym.co.uk/,boxing,2025-01-11
Club Twenty Two,,,London,https://www.clubtwentytwo.com/,"hiit-bootcamp, strength-training",2024-07-23
Collective Pilates,,,London,https://www.collectivepilates.com/,"pilates, reformer-pilates",2024-02-27
Core a body by lara studio,,,London,https://www.bodybylaracore.com/,"barre, hiit-bootcamp, pilates, yoga, low-impact-training, reformer-pilates, strength-training",2024-07-24
Core Quest Pilates,,,London,https://corequestpilates.com/,"pilates, reformer-pilates",2024-10-31
Crowns Gym,,,London,http://www.crownsgym.com/,"yoga, hiit-bootcamp, boxing, dance, strength-training, martial-arts, low-impact-training, pilates, mind-body, stretching",2024-02-23
Croydon Martial Arts,,,London,https://www.croydonmartialarts.com/,"boxing, martial-arts",2024-01-24
Dance With Me @The Hamptons,,,London,https://www.dancefitwithme.com/,"dance, yoga",2024-09-25
Deptford Boxing Gym,,,London,http://www.deptfordboxing.com/,"hiit-bootcamp, boxing, martial-arts, strength-training",2025-01-24
e1-crossfit-london,,,London,http://www.e1crossfit.co.uk/,"hiit-bootcamp, strength-training",2024-02-07
Eastside Outdoor Fitness,,,London,https://www.eastside.fit/,"hiit-bootcamp, strength-training, outdoors",2024-03-25
Echelon Self-Defence,,,London,https://www.echelonselfdefence.com/krav-maga-london-bridge?utm_source=google&utm_medium=local&utm_campaign=gbp_london_bridge,"martial-arts, outdoors",2024-01-12
echo-gym-london,,,London,https://www.echogym.com/,"dance, hiit-bootcamp, strength-training, martial-arts, personal-training, pilates, stretching, yoga",2024-03-31
ems-fit-uxbridge-ylyx,,,London,http://emsfitlondon.co.uk/uxbridge/,electrical-muscle-stimulation,2025-02-02
Endeavour Collective,,,London,http://www.endeavourcollectivegym.com/,"hiit-bootcamp, strength-training",2024-09-10
Enmei,,,London,https://enmeistudios.com/,"hiit-bootcamp, low-impact-training, pilates, reformer-pilates, strength-training",2024-07-30
Enmei,,,London,https://www.enmeistudios.com/,"hiit-bootcamp, pilates, reformer-pilates, strength-training",2024-07-30
Enmei,,,London,https://www.enmeistudios.com/,"hiit-bootcamp, strength-training",2024-07-30
Equinim,,,London,https://equinim.co.uk/,"barre, hiit-bootcamp, pilates, reformer-pilates, strength-training, stretching, yoga",2025-02-11
Everwell Pilates,,,London,http://everwellpilates.co.uk/,pilates,2024-09-14
F45 Training,,,London,https://f45training.co.uk/claphamjunction/home,"strength-training, hiit-bootcamp",2024-01-15
F45 Training,,,London,https://f45training.com/uk/studio/millharbour/,"strength-training, hiit-bootcamp",2024-01-15
F45 Training,,,London,https://f45training.com/uk/studio/surbiton/,"strength-training, hiit-bootcamp, outdoors, running",2024-01-15
F45 Training,,,London,https://f45training.com/uk/studio/bromleyuk/,"strength-training, hiit-bootcamp",2024-01-15
Fit and Food,,,London,https://www.fitandfood.co.uk/,"hiit-bootcamp, strength-training, personal-training, prenatal-postnatal, running",2025-09-09
Fitzen Pilates Studio,,,London,https://www.fitzenstudio.co.uk/,"pilates, reformer-pilates",2024-07-30
Flow State,,,London,http://www.flowstate-holistic.com/,yoga,2025-01-21
Flow with Han,,,London,https://www.flowandgrowevents.co.uk/,yoga,2024-11-27
Forma Pilates Studio,,,London,http://www.formapilates.co.uk/,"low-impact-training, pilates, reformer-pilates, strength-training, stretching",2024-12-25
Fulham Boxing Club,,,London,http://www.fulhamboxingclub.co.uk/,boxing,2025-11-14
Funk Training Club,,,London,http://www.funktrainingclub.com/,"hiit-bootcamp, strength-training, yoga",2025-04-12
Grapple Labs,,,London,https://grapplelabs.co.uk/,martial-arts,2025-01-18
Healing with Thai,,,London,https://www.healingwiththai.com/,"yoga, stretching",2024-04-29
HeartSpace Yoga,,,London,http://www.heartspaceyoga.co/,"barre, yoga, pilates",2024-02-06
Heels & Feels,,,London,http://unit3-studios.com/,dance,2024-03-15
Hiraya Pilates,,,London,https://www.hirayapilates.com/,"pilates, reformer-pilates",2025-03-19
hot-yoga-shoreditch-formerly-yoga-union-london,,,London,https://www.hotyogashoreditch.com/,"pilates, yoga, low-impact-training, strength-training",2024-08-24
house-of-moon-studio-london,,,London,https://www.houseofmoonstudio.com/,"aerial, yoga, pilates, stretching",2025-08-14
