business name,owner/manager,contact email,city,website,business type (modality),estimated_opening_date
à soi · yoga,,,Paris,http://www.daljeet-yoga.fr/cours-yoga-paris-neuilly-courbevoie/yoga-a-neuilly,yoga,2025-01-28
ADRENALINE SPORT & CAFE,,,Paris,https://adrenaline-sport-cafe.fr/,"hiit-bootcamp, strength-training",2024-11-05
Aja House,,,Paris,https://www.ajahouse.fr/,"yoga, barre, hiit-bootcamp, boxing, dance, pilates, low-impact-training, prenatal-postnatal, reformer-pilates, strength-training, stretching",2024-09-16
ASSY/ASANA,,,Paris,https://assyasana.fr/,"yoga, hiit-bootcamp, low-impact-training, pilates, strength-training, stretching",2024-09-14
Astra body,,,Paris,https://astrabodyvincennes.fr/,"cycling, low-impact-training, strength-training",2025-05-09
Atmasphera,,,Paris,https://atmasphera.fr/,prenatal-postnatal,2024-04-08
Atmasphera Yoga,,,Paris,https://atmasphera.fr/,yoga,2024-04-08
AU LAGREE CLUB,,,Paris,https://www.aulagreeclub.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11985339791980549681,"reformer-pilates, pilates",2025-05-10
AURA,,,Paris,https://www.aurapilates.fr/,"pilates, low-impact-training, reformer-pilates, strength-training",2024-10-31
becoached,,,Paris,https://www.becoached.fr/,"hiit-bootcamp, strength-training, cycling, low-impact-training, running, stretching",2025-02-25
Bee Lagree,,,Paris,https://beelagree.fr/,"reformer-pilates, pilates, yoga",2025-02-15
Belly Studio,,,Paris,https://studiobelly.com/,"reformer-pilates, pilates",2024-02-03
Belly Studio,,,Paris,http://studiobelly.com/,"reformer-pilates, pilates",2024-02-03
Belly Studio,,,Paris,https://studiobelly.com/,"reformer-pilates, low-impact-training, pilates, strength-training",2024-02-03
bodistudio,,,Paris,https://bodi-studio.com/,"barre, hiit-bootcamp, boxing, strength-training, low-impact-training, pilates, stretching, yoga",2024-09-27
BUBBLE,,,Paris,https://bubble.spa/,"hiit-bootcamp, strength-training",2024-02-12
Carbonne,,,Paris,https://www.carbonnestudio.com/,"pilates, reformer-pilates",2024-09-10
Central Fit,,,Paris,https://centralfitcharenton.fr/,"hiit-bootcamp, dance, strength-training, cycling, low-impact-training, martial-arts, pilates, stretching, yoga",2024-02-26
Chang noi,,,Paris,https://www.changnoiboxing.com/,"hiit-bootcamp, boxing, martial-arts, strength-training",2024-05-19
CLMX,,,Paris,http://www.clmx.fr/,"dance, outdoors",2024-02-14
Club Lulu,,,Paris,http://www.clublulu.paris/,"dance, barre, hiit-bootcamp, yoga, low-impact-training, pilates, prenatal-postnatal, reformer-pilates, strength-training, stretching",2024-09-02
Core Society,,,Paris,https://www.coresociety.fr/,"pilates, reformer-pilates",2024-07-17
Cosmopilates,,,Paris,http://www.cosmopilates.fr/,"pilates, reformer-pilates",2024-06-11
CrossFit Factory - Boulogne Billancourt,,,Paris,https://crossfitfactory-boulogne.fr/,"hiit-bootcamp, strength-training, outdoors, running",2024-06-03
Culte Reformer,,,Paris,http://www.culte-reformer.com/,"hiit-bootcamp, pilates, reformer-pilates, strength-training",2024-03-20
Culte Reformer,,,Paris,https://www.culte-reformer.com/,"pilates, yoga, reformer-pilates",2024-03-20
DANSE ART ET MOUVEMENT,,,Paris,https://tangopilatesflow.com/,"barre, dance, yoga",2024-08-21
Define Studio,,,Paris,https://definestudio.fr/,"pilates, reformer-pilates",2024-11-04
DNA Pilates,,,Paris,https://dnapilatesparis.com/,"reformer-pilates, pilates",2024-04-28
DNA Pilates Paris,,,Paris,https://dnapilatesparis.com/,"reformer-pilates, pilates",2024-04-28
Dynamo Cycling,,,Paris,http://dynamo-cycling.com/,cycling,2025-03-01
Elevate Studio,,,Paris,https://www.elevateparis.com/,"reformer-pilates, pilates",2024-03-26
EPISOD,,,Paris,https://episod.com/,"hiit-bootcamp, strength-training, pilates, reformer-pilates",2025-09-22
ESPACE,,,Paris,https://espacestudio.fr/,"hiit-bootcamp, strength-training, pilates",2024-01-29
Evocore,,,Paris,https://www.evocorestudio.com/,"reformer-pilates, pilates",2024-03-14
Factory Dance,,,Paris,https://www.sr-factory.com/,"dance, barre, hiit-bootcamp, boxing, low-impact-training, pilates, strength-training, stretching, yoga",2025-01-16
FeatClub,,,Paris,https://www.featclub.fr/pages/studio,"hiit-bootcamp, boxing, pilates, strength-training",2024-09-22
Flow Studio,,,Paris,https://www.flowstudioparis.com/,"reformer-pilates, pilates",2025-05-21
Genesis Yoga,,,Paris,https://www.genesisyoga.fr/,"hiit-bootcamp, yoga, strength-training",2024-04-22
Hera Club,,,Paris,https://www.heraclubparis.com/,"barre, hiit-bootcamp, pilates, yoga, strength-training, stretching",2025-04-29
HI KICK,,,Paris,http://hi-kick.fr/,"boxing, strength-training, pilates, martial-arts, stretching",2024-05-30
Indian Swaas,,,Paris,https://swa-ayurveda.com/,yoga,2024-07-21
Janet Studio,,,Paris,https://www.janetstudio.fr/,"pilates, prenatal-postnatal, reformer-pilates, stretching, yoga",2025-04-30
Kalon,,,Paris,https://www.kalonbarre.com/,barre,2025-04-10
Karma Pilates,,,Paris,https://karmapilates.fr/,"pilates, reformer-pilates",2025-06-25
KTRL,,,Paris,https://www.take-ktrl.com/,"barre, hiit-bootcamp, strength-training, pilates, low-impact-training, stretching",2025-06-08
KURV Studio,,,Paris,https://www.kurvstudio.com/,"hiit-bootcamp, pilates, reformer-pilates, strength-training",2024-02-28
L'Académie 34,,,Paris,https://www.academie34paris.com/,"barre, hiit-bootcamp, dance, yoga, low-impact-training, pilates, reformer-pilates, strength-training, stretching",2024-07-10
Last Studio,,,Paris,https://www.laststudio.fr/,pilates,2025-03-17
Le GymGirlsClub,,,Paris,https://www.tffacademy.fr/,"hiit-bootcamp, strength-training",2024-10-15
Le Hyve,,,Paris,http://www.lehyve.fr/,"hiit-bootcamp, cycling, pilates, reformer-pilates, strength-training",2024-02-06
Maison Amat,,,Paris,http://maisonamat.com/,"barre, pilates, low-impact-training, reformer-pilates, running, strength-training",2024-11-23
Maison Rem,,,Paris,https://www.maisonrem.com/,"dance, yoga, pilates, prenatal-postnatal",2024-04-08
Method Lagree Studio,,,Paris,http://www.methodlagreestudio.com/,"reformer-pilates, pilates",2024-11-10
mon Q,,,Paris,https://monqclub.fr/,"pilates, outdoors",2025-10-06
Mood fitness studio,,,Paris,http://www.mood-fitness-studio.com/,"dance, hiit-bootcamp, boxing, pilates, low-impact-training, strength-training, stretching, yoga",2024-08-28
Move Lagree,,,Paris,https://www.movelagree.net/,"reformer-pilates, pilates",2025-08-01
Mucho Pilates Studio,,,Paris,https://muchopilates-studio.com/,"pilates, reformer-pilates",2025-03-28
Nava Pilates,,,Paris,https://navapilates.com/,"pilates, prenatal-postnatal, reformer-pilates, yoga",2024-10-20
Nomeia pilates,,,Paris,https://www.nomeia.fr/services-6,"dance, pilates, yoga",2024-09-30
Nomeia pilates,,,Paris,https://www.nomeia.fr/,pilates,2024-09-30
NOT YOGA,,,Paris,https://notyoga.fr/,yoga,2024-12-01
Now Reformer,,,Paris,https://nowreformer.com/,"pilates, reformer-pilates",2024-12-17
Omvida,,,Paris,https://www.omvida.fr/,"dance, pilates, yoga",2024-03-23
Ora Studio,,,Paris,https://oraconcepts.fr/,"yoga, barre, pilates, reformer-pilates",2024-03-18
Original Timba,,,Paris,https://www.originaltimba.com/,dance,2025-01-08
Ponthieu Soleil,,,Paris,https://bronzage-aquabike-paris-8.fr/,"hiit-bootcamp, electrical-muscle-stimulation, strength-training",2025-04-29
Power by Ergo,,,Paris,http://www.powerbyergo.com/,"hiit-bootcamp, strength-training",2024-02-10
Power by Ergo,,,Paris,http://www.powerbyergo.com/,strength-training,2024-02-10
PUR Reformer,,,Paris,https://www.pur-reformer.fr/,"pilates, reformer-pilates",2024-10-22
Pyra,,,Paris,https://pyra.paris/,"hiit-bootcamp, dance, low-impact-training, pilates, strength-training, stretching, yoga",2024-08-02
R.EVE,,,Paris,https://www.reve-studioparis.com/,"low-impact-training, strength-training",2025-06-20
Ráfaga Studios,,,Paris,https://www.rafagastudios.com/,"pilates, reformer-pilates",2024-09-02
Reform.,,,Paris,https://reformfrombali.com/,"pilates, reformer-pilates",2025-04-04
Remega,,,Paris,https://www.remega.fr/,"pilates, reformer-pilates",2024-02-06
Riise,,,Paris,https://riise-studios.com/,"pilates, yoga",2024-03-04
Roméo Club,,,Paris,http://www.romeoclub.fr/,"hiit-bootcamp, strength-training",2024-07-29
RUYI STUDIO,,,Paris,https://www.ruyiparis.fr/,"pilates, reformer-pilates",2025-02-04
SENSA STUDIO,,,Paris,https://www.sensastudio.fr/,"yoga, pilates, prenatal-postnatal, stretching",2024-06-21
Sense Club,,,Paris,http://sense-club.fr/,"hiit-bootcamp, pilates, reformer-pilates, strength-training, yoga",2024-11-26
Silo Lagree Studio,,,Paris,https://silostudio.fr/,"reformer-pilates, pilates",2024-06-13
Snake & Twist,,,Paris,https://www.snakeandtwist.fr/,"hiit-bootcamp, reformer-pilates, pilates, strength-training",2024-11-01
Snake & Twist,,,Paris,https://www.snakeandtwist.fr/,"pilates, reformer-pilates",2025-06-01
Snake & Twist,,,Paris,https://www.snakeandtwist.fr/,"pilates, reformer-pilates",2024-04-01
SOCIAL REFORMERS,,,Paris,https://socialreformers.fr/,"pilates, reformer-pilates",2025-06-19
Spark Club,,,Paris,https://www.spark-club.fr/,"hiit-bootcamp, cycling, yoga, pilates, strength-training",2024-03-17
Spartan boxing club paris,,,Paris,https://www.sbcparis.fr/,boxing,2025-09-12
STELLIA PARIS,,,Paris,https://www.stellia.paris/,stretching,2024-03-26
Studio Brume,,,Paris,https://www.brumestudios.fr/?utm_source=google-my-business&utm_medium=site-web&utm_campaign=paris-12,"pilates, yoga, prenatal-postnatal, reformer-pilates",2025-07-07
Studio by Holy,,,Paris,https://studiobyholy.com/,"pilates, reformer-pilates",2024-01-26
