name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types
Bikram Yoga Nairobi,ChIJt6sK8fcZLxgRBRbsE2zSUfg,"Lavington Green Mall 2nd Floor above Chandarana Supermarket, Nairobi, Kenya",Lavington,-1.2799524,36.7706743,http://bikramyoganairobi.com/,https://maps.google.com/?cid=17893314156152231429,4.8,(157),aerial; yoga; barre; strength-training; gym-time; pilates; reformer-pilates; prenatal-postnatal; mind-body; running; stretching,strength-training; yoga; gym-time,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Kanga Studio Nairobi,ChIJGcKopioZLxgRJ3-yC4bKUf0,"QQ7M+P6 Ikigai Westlands, Peponi Rd, Nairobi, Kenya",Westlands,-1.2356875,36.7830625,http://www.kangastudio.co/nairobi,https://maps.google.com/?cid=18253593441780006695,4.7,(13),aerial; yoga; prenatal-postnatal; mind-body; stretching,yoga,website_extracted,approved,0.875,establishment; health; point_of_interest
Heart to Heart Yoga studio,ChIJydR7rIgXLxgR8nlXhAPZBRQ,"Ring Rd Parklands, Nairobi, Kenya",Parklands,-1.2611485,36.8042482,https://hearttoheartyogastudio.com/,https://maps.google.com/?cid=1442797864770566642,5,(13),aerial; yoga; barre; hiit-bootcamp; mind-body; strength-training; stretching,yoga,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Siha Wellness Studios,ChIJwfVASc4ZLxgRNlrpkFX4ups,"ABC Place, Block C, Third Floor Waiyaki Wy, Nairobi, Kenya",,-1.2598323,36.7767288,http://www.sihawellness.com/,https://maps.google.com/?cid=11221554467934132790,5,(4),aerial; yoga; stretching,aerial; yoga; stretching,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
Creative Nest Studio,ChIJlWBvCQAbLxgRFJXS5yYwj4Y,"85 Nandi Rd, Nairobi, Kenya",,-1.3149551,36.7063256,https://www.creativeneststudio.co.ke/,https://maps.google.com/?cid=9696021466408195348,5,(4),aerial; yoga; pilates; prenatal-postnatal; mind-body,aerial; yoga; pilates; prenatal-postnatal; mind-body,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
Beyond Body,ChIJq6xEBVMZLxgRL5ivwQbBAqs,"3, 2 Kitisuru Rd, Nairobi, Kenya",,-1.2367675,36.7625451,https://www.mindbodyonline.com/explore/locations/beyond-body,https://maps.google.com/?cid=12322623765202573359,4.3,(15),aerial; barre; dance; strength-training; cycling; boxing; yoga; reformer-pilates; prenatal-postnatal; mind-body; running; stretching,aerial; barre; dance; strength-training; cycling; boxing; yoga; reformer-pilates; prenatal-postnatal; mind-body; running; stretching,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
Ritual studio,ChIJ5cicTAAXLxgRHlx4D3gXmiA,"Off United Nations Cres, Nairobi, Kenya",,-1.2326408,36.803464,https://www.ritualstudio-ke.com/,https://maps.google.com/?cid=2349215960050195486,5,(12),aerial; barre; strength-training; fitness; gym-time; yoga; pilates; reformer-pilates; prenatal-postnatal; mind-body; stretching,reformer-pilates; strength-training; yoga; pilates,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Sweat Hot Yoga & Pilates Studio,ChIJXTsAtqoXLxgRpOWPx4jHCzs,"Limuru Rd, Nairobi, Kenya",,-1.2108285,36.7948647,https://www.sweatstudio.ke/,https://maps.google.com/?cid=4254713663259141540,4.8,(62),aerial; barre; strength-training; gym-time; yoga; pilates; reformer-pilates; prenatal-postnatal; mind-body; stretching,strength-training; gym-time; yoga; pilates; reformer-pilates,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Ateliar Pilates,ChIJZQNpJIAXLxgRT6sU8QTDp8E,"off Lower Kabete Rd, Nairobi, Kenya",,-1.2487987,36.7837279,https://m.facebook.com/Atelier-Pilates-551487124865624/,https://maps.google.com/?cid=13954336396422720335,5,(3),aerial; pilates; reformer-pilates; yoga,aerial; pilates; reformer-pilates; yoga,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
CECE YOGA AND POLE FITNESS,ChIJO2uw8PIXLxgR2GGejlbA6hs,"43 Apple Cross Rd, Nairobi, Kenya",,-1.2703584,36.7748365,https://www.wwwceceyogaandpolefitness.com/,https://maps.google.com/?cid=2011631661566812632,4.8,(20),aerial; dance; fitness; yoga,dance; fitness; yoga,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
