name,address,website
Bikram Yoga Nairobi,"Lavington Green Mall 2nd Floor above Chandarana Supermarket, Nairobi, Kenya",http://bikramyoganairobi.com/
Kanga Studio Nairobi,"QQ7M+P6 Ikigai Westlands, Peponi Rd, Nairobi, Kenya",http://www.kangastudio.co/nairobi
Heart to Heart Yoga studio,"Ring Rd Parklands, Nairobi, Kenya",https://hearttoheartyogastudio.com/
EDE Wellness Studio,"PR27+78R, 5th Floor Hospital Rd, Nairobi, Kenya",http://edewellnessnairobi.com/
Siha Wellness Studios,"ABC Place, Block C, Third Floor Waiyaki Wy, Nairobi, Kenya",http://www.sihawellness.com/
Creative Nest Studio,"85 Nandi Rd, Nairobi, Kenya",https://www.creativeneststudio.co.ke/
Beyond Body,"3, 2 Kitisuru Rd, Nairobi, Kenya",https://www.mindbodyonline.com/explore/locations/beyond-body
Ritual studio,"Off United Nations Cres, Nairobi, Kenya",https://www.ritualstudio-ke.com/
Sweat Hot Yoga & Pilates Studio,"Limuru Rd, Nairobi, Kenya",https://www.sweatstudio.ke/
Ateliar Pilates,"off Lower Kabete Rd, Nairobi, Kenya",https://m.facebook.com/Atelier-Pilates-551487124865624/
CECE YOGA AND POLE FITNESS,"43 Apple Cross Rd, Nairobi, Kenya",https://www.wwwceceyogaandpolefitness.com/
Reforma Pilates Studio Kenya,"The GreenHouse Mall, Nairobi, Kenya",https://www.reformapilatesstudioke.com/
Delight Hot Yoga - Nairobi | Original Hot Yoga|Bikram|26+2,"4th Floor, Lavington Mall, James Gichuru Road, Nairobi, Kenya",https://delighthotyoga.com/
Body Equilibrium Studio,"Mwanzi Market Mwanzi Rd, Nairobi, Kenya",https://www.bodyeqstudio.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16093529016531410152
BODY by Alison Caroline,"102 Manyani E Rd, Nairobi, Kenya",https://bodybyalisoncaroline.com/
Victory Vibes,"Balozi Road, Kitengela, Kenya",https://victoryvibes.odoo.com/
Ikigai Nairobi Westlands (Peponi Road),"Peponi Rd, Nairobi, Kenya",https://ikigai.co.ke/westlands/
Kenrail Towers,"Ring Road, Nairobi, Kenya",http://www.krc.co.ke/
Ngong Road Forest Sanctuary,"forest, Ngong Rd, Ngong, Kenya",http://www.ngongroadforest.com/
Watamu Treehouse,"Turtle Bay Road, Watamu, Kenya",http://www.treehouse.co.ke/
Astral Aerial Solutions,"Western Heights, Nairobi, Kenya",http://www.astral-aerial.com/
Cruz drone Photography,"Luthuli Ave, Nairobi, Kenya",https://cruz-drone-photography.odoo.com/
Poles Apart Studio,"Ngong Rd, Nairobi, Kenya",https://www.polesapartstudio.com/
TheOne Studios Nairobi (AfroDance & Afrobeats Dance Hub),"Waiyaki Wy, Nairobi, Kenya",http://theonestudios.co.ke/
Dojo Wellness Club,"320 Ngong Rd, Nairobi, Kenya",http://www.dojokenya.com/
The Colosseum Fitness Centre - Adams Arcade,"Adams Arcade, Ngong Rd, Nairobi, Kenya",http://www.colosseumkenya.com/
Dance Centre Kenya,"Lavington Mall, 4th Floor, Nairobi, Kenya",http://dancecentre.co.ke/
The Academy of Dance and Art,"Nairobi, Kenya",http://www.academyofdanceandart.co.ke/
EMPIRE DANCE KENYA,"Mkungu Cl, Nairobi, Kenya",https://empiredancekenya.com/
CHEZACHEZA DANCE FOUNDATION,"Karanja Rd, Nairobi, Kenya",https://chezachezadance.org/
EM AFRICA ACADEMY,"CPA Center, Thika Rd, Nairobi, Kenya",https://www.emafrica.co.ke/
JOS LYON BACHATA SALSA KIZOMBA AFRO BEATS DANCE SCHOOL,"Kippro Center, Sports Rd, Nairobi, Kenya",https://sites.google.com/view/salsa-bachata-classes-nairobi/home
Dance Centre Kenya Hardy,"Ushirika Rd, Nairobi, Kenya",http://www.dancecentre.co.ke/
Kenya Cultural Centre,"P.O. Box 43031 Harry Thuku Rd, Nairobi, Kenya",http://kenyaculturalcentre.go.ke/index.php
Jellyport Dance Academy,"Eavesdprop building, Ruiru, Kenya",https://jellyport.wixsite.com/jellyportdanceschool
Sarakasi Dome,"PRFG+7QW, Ngara Rd, Nairobi, Kenya",https://sarakasi.org/
JIJI DANCE SAFARI KENYA,"Baricho Rd, Nairobi, Kenya",https://jijidancesafaris.com/
Zuberi Pilates Studio,"260a flamingo drive, Nairobi, Kenya",https://zuberipilates.com/
Core Balance Studio,"Spring Valley Business Park Block A, 3rd Floor, Nairobi, Kenya",https://corebalancestudio.co.ke/
Reformer Pilates Training Institute,"4th Floor Suite, East Wing, The GreenHouse Mall, 22 Ngong Rd, Nairobi, Kenya",https://www.reformerpilatestraininginstitute.co.ke/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1628227440902263452
TechCamp Kenya,"Corner House Building, Kimathi St, Nairobi, Kenya",https://www.techcamp.co.ke/
Inceptor Institute Of Technologies,"Hazina Towers, Utalii Ln, Nairobi, Kenya",http://inceptor.co.ke/
Upfit Gym Ltd,"Galana Plaza, Galana Road, Off, 4th Floor Argwings Khodeck, Nairobi, Kenya",http://www.upfitgym.co.ke/
Adan Xavi Fitness,"Westland, Nairobi, Kenya",https://youtu.be/RpWSuJHFqog?si=pUq5v0uSzfcHKix3
Moringa School,"1st Floor Ngong Ln, Nairobi, Kenya",https://moringaschool.com/
eMobilis Technology Training Institute,"3rd, Kippro Center, Opposite Parklands Baptist Church Sports Rd, Nairobi, Kenya",https://www.emobilis.ac.ke/
Berry Personal Trainer,"Karen, Nairobi, Kenya",http://www.berryfitnessforhealth.com/
ADUS FIT CLUB KASARANI,"QWFG+746 Servco, Nairobi, Kenya",https://adusfitclub.co.ke/
Zindua Coding School,"Circular Innovation Hub, 233 Owashika Rd, Nairobi, Kenya",https://zinduaschool.com/
Destiny Life Coaching,"Savelberg retreat center Muringa Road, off Elgeyo Marakwet N, Nairobi, Kenya",https://www.dlc.co.ke/
