name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories,raw_modalities,types
Bikram Yoga Nairobi,ChIJt6sK8fcZLxgRBRbsE2zSUfg,"Lavington Green Mall 2nd Floor above Chandarana Supermarket, Nairobi, Kenya",Lavington,-1.2799524,36.7706743,http://bikramyoganairobi.com/,https://maps.google.com/?cid=17893314156152231429,4.8,(157),aerial; yoga; barre; strength-training; gym-time; pilates; reformer-pilates; prenatal-postnatal; mind-body; running; stretching,aerial-antigravity-yoga; ashtanga-yoga; barre; circuit-training; gym-time; hatha-yoga; high-intensity-pilates; hot-yoga; iyengar-yoga; jivamukti-yoga; kundalini-yoga; lagree; postnatal; power-yoga; prenatal-yoga; qi-gong; restorative-yoga; running; sculpt; stretching; tai-chi; trx; vinyasa-yoga; yin-yoga; yoga-nidra; yoga,establishment; gym; health; point_of_interest
Kanga Studio Nairobi,ChIJGcKopioZLxgRJ3-yC4bKUf0,"QQ7M+P6 Ikigai Westlands, Peponi Rd, Nairobi, Kenya",Westlands,-1.2356875,36.7830625,http://www.kangastudio.co/nairobi,https://maps.google.com/?cid=18253593441780006695,4.7,(13),aerial; yoga; prenatal-postnatal; mind-body; stretching,aerial-antigravity-yoga; ashtanga-yoga; hatha-yoga; hot-yoga; iyengar-yoga; jivamukti-yoga; kundalini-yoga; postnatal; power-yoga; prenatal-yoga; prenatal; qi-gong; restorative-yoga; stretching; tai-chi; vinyasa-yoga; yin-yoga; yoga-nidra; yoga,establishment; health; point_of_interest
Heart to Heart Yoga studio,ChIJydR7rIgXLxgR8nlXhAPZBRQ,"Ring Rd Parklands, Nairobi, Kenya",Parklands,-1.2611485,36.8042482,https://hearttoheartyogastudio.com/,https://maps.google.com/?cid=1442797864770566642,5,(13),aerial; yoga; barre; hiit-bootcamp; mind-body; strength-training; stretching,aerial-antigravity-yoga; aerial; ashtanga-yoga; barre; hatha-yoga; hiit; hot-yoga; iyengar-yoga; jivamukti-yoga; kundalini-yoga; power-yoga; prenatal-yoga; qi-gong; restorative-yoga; sculpt; stretching; tai-chi; vinyasa-yoga; yin-yoga; yoga-nidra; yoga,establishment; gym; health; point_of_interest
EDE Wellness Studio,ChIJVdUPVgARLxgRcS2ckn1MHrM,"PR27+78R, 5th Floor Hospital Rd, Nairobi, Kenya",,-1.2992832,36.8133309,http://edewellnessnairobi.com/,https://maps.google.com/?cid=12906837684304751985,4.9,(66),aerial; dance; gym-time; yoga; pilates; strength-training; stretching,aerial-antigravity-yoga; cardio-dance; gym-time; hot-yoga; iyengar-yoga; pilates; power-yoga; restorative-yoga; sculpt; stretching; vinyasa-yoga; yin-yoga; yoga,establishment; point_of_interest
Siha Wellness Studios,ChIJwfVASc4ZLxgRNlrpkFX4ups,"ABC Place, Block C, Third Floor Waiyaki Wy, Nairobi, Kenya",,-1.2598323,36.7767288,http://www.sihawellness.com/,https://maps.google.com/?cid=11221554467934132790,5,(4),aerial; yoga; stretching,aerial-antigravity-yoga; hatha-yoga; hot-yoga; iyengar-yoga; jivamukti-yoga; kundalini-yoga; power-yoga; prenatal-yoga; restorative-yoga; stretching; yin-yoga; yoga,establishment; gym; health; point_of_interest
Creative Nest Studio,ChIJlWBvCQAbLxgRFJXS5yYwj4Y,"85 Nandi Rd, Nairobi, Kenya",,-1.3149551,36.7063256,https://www.creativeneststudio.co.ke/,https://maps.google.com/?cid=9696021466408195348,5,(4),aerial; yoga; pilates; prenatal-postnatal; mind-body,aerial-antigravity-yoga; aerial; jivamukti-yoga; pilates; postnatal; qi-gong; yoga,establishment; gym; health; point_of_interest
Yoga With Kui,ChIJowgSwE8bLxgRetLR4zUVLTQ,"122 Bogani East Rd, Nairobi, Kenya",,-1.3537275,36.7525169,http://yogawithkui.com/,https://maps.google.com/?cid=3759684585123861114,5,(4),aerial; yoga; mind-body,aerial-antigravity-yoga; ashtanga-yoga; hatha-yoga; iyengar-yoga; jivamukti-yoga; kundalini-yoga; power-yoga; prenatal-yoga; qi-gong; restorative-yoga; tai-chi; vinyasa-yoga; yin-yoga; yoga,establishment; gym; health; point_of_interest
Beyond Body,ChIJq6xEBVMZLxgRL5ivwQbBAqs,"3, 2 Kitisuru Rd, Nairobi, Kenya",,-1.2367675,36.7625451,https://www.mindbodyonline.com/explore/locations/beyond-body,https://maps.google.com/?cid=12322623765202573359,4.3,(15),aerial; barre; dance; strength-training; cycling; boxing; yoga; reformer-pilates; prenatal-postnatal; mind-body; running; stretching,aerial-antigravity-yoga; aerial; barre; cardio-dance; circuit-training; cycling; heavy-bag; indoor-cycling; iyengar-yoga; jivamukti-yoga; kundalini-yoga; lagree; postnatal; power-yoga; prenatal-yoga; qi-gong; restorative-yoga; running; sculpt; shadowboxing; stretching; tai-chi; trx; vinyasa-yoga; yoga-nidra; yoga,establishment; gym; health; point_of_interest
Birds of Paradise Aerial Arts Studio,ChIJjZHmPecXLxgR7APoEyDpWvk,"James Gichuru Road, Nairobi, Kenya",,-1.2888296,36.7622585,https://www.kazentertainment.com/birdsofparadisepoledancestudio,https://maps.google.com/?cid=17967929987330212844,5,(4),aerial; dance,aerial-antigravity-yoga; aerial; dance,establishment; point_of_interest
Ritual studio,ChIJ5cicTAAXLxgRHlx4D3gXmiA,"Off United Nations Cres, Nairobi, Kenya",,-1.2326408,36.803464,https://www.ritualstudio-ke.com/,https://maps.google.com/?cid=2349215960050195486,5,(12),aerial; barre; strength-training; fitness; gym-time; yoga; pilates; reformer-pilates; prenatal-postnatal; mind-body; stretching,aerial-antigravity-yoga; barre; circuit-training; fitness; gym-time; hatha-yoga; high-intensity-pilates; hot-yoga; jivamukti-yoga; kundalini-yoga; lagree; mat-pilates; pilates; postnatal; power-yoga; prenatal-yoga; qi-gong; reformer-pilates; restorative-yoga; sculpt; stretching; trx; yoga-nidra; yoga,establishment; gym; health; point_of_interest
