name,place_id,website,verification_status_before,manual_decision,reason
Skymap LiDAR Drone and Topographical survey Services,ChIJVeaxIiY-LxgRTbfhX5vA87E,https://skymap-geo.com/,needs_review,remove,manual_review_remove
Aerial Properties Solutions Ltd,ChIJ7e63LAAbLxgRddiENXXBTvM,https://aerialpropertiessolutions.co.ke/,needs_review,remove,manual_review_remove
Project Elimu,ChIJWTaFg_YbLxgR7_21yLXA6FY,http://www.projectelimu.org/,needs_review,remove,manual_review_remove
Ronchez Fitness,ChIJiRWxBWkbLxgRCzVJFhFZHTQ,https://ronchezfitness.com/,needs_review,remove,manual_review_remove
MZANGILA FITNESS,ChIJcZaybjgZLxgRTFRFpkeAN4o,https://mzangilafitness.wordpress.com/,needs_review,remove,manual_review_remove
QC Fitness Studio,ChIJFcbILkxHLxgRokEFv2eVl28,https://www.youtube.com/channel/UCNZsyKODFcivRPkRlbv3wvg,needs_review,remove,manual_review_remove
NFC Muay Thai & MMA Training Center,ChIJOb4DUxcVLxgRNx6nOYaiUv8,https://www.nakmuay.foundation/,needs_review,remove,manual_review_remove
DRAGONFITNESSARENA,ChIJLT1Wem4bLxgRxi0Gv4mj29M,https://youtube.com/channel/UCzO3_HxqGJffGL6QagjPg0g,needs_review,remove,manual_review_remove
Yobo fiteness,ChIJC8F2fL4RLxgR3GE288L-7Ag,http://www.yobofitness.com/,needs_review,remove,manual_review_remove
KalFitness Gym,ChIJW2qx3CM-LxgRnbqbfSkK5Jo,https://web.facebook.com/kalfitnesske/,needs_review,remove,manual_review_remove
ZOEZI SCHOOL,ChIJ1fPK8nYRLxgRAowsmz21I5g,https://zoezischool.com/%0A,needs_review,remove,manual_review_remove
Art of Music Foundation,ChIJ-xlJwh0WLxgRwUaaBdaWY1c,http://www.artofmusic.co.ke/,needs_review,remove,manual_review_remove
Milan,ChIJ4Qor_a8XLxgR8Ju-Gxj826g,http://www.milan.co.ke/,needs_review,remove,manual_review_remove
Cycle Africa Bikes,ChIJA0SKfcQRLxgRpAX192PwomM,https://cycleafricabikes.com/,needs_review,remove,manual_review_remove
Limitless Bike Shop,ChIJ_a1_qiUXLxgRZcV9DvxfoRQ,https://limitless.ke/?utm_source=google&utm_medium=organic&utm_campaign=google-business-profile,needs_review,remove,manual_review_remove
Giant Bicycles Kenya,ChIJnwICDs4bLxgRdb04txoCI1E,https://giantbicycleskenya.com/,needs_review,remove,manual_review_remove
The Cycle Importers,ChIJG7XDEdMQLxgRxiuP7AAP6yo,http://www.cycleimporters.co.ke/,needs_review,remove,manual_review_remove
Nairobi Sports House Ltd. (Moi Avenue),ChIJTTk1DNYQLxgRAchGxm-qzoE,http://www.nairobisportshouse.com/,needs_review,remove,manual_review_remove
ALMA GYM & AEROBICS,ChIJqf0RTos_LxgRkmSLItcNuOY,http://www.artcardcompany.co.ke/,needs_review,remove,manual_review_remove
