name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
Yoga With Kui,ChIJowgSwE8bLxgRetLR4zUVLTQ,"122 Bogani East Rd, Nairobi, Kenya",,-1.3537275,36.7525169,http://yogawithkui.com/,https://maps.google.com/?cid=3759684585123861114,5,(4),aerial; yoga; mind-body,aerial; yoga; mind-body,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Fluid Yoga & Wellness,ChIJ0ZA-Dq0ZLxgRAxC9NbqLnhw,"Ground Floor Greenwood Road, Nairobi, Kenya",,-1.2683686,36.8063526,http://www.fluid.ke/,https://maps.google.com/?cid=2062239311264026627,4.5,(8),aerial; gym-time; yoga; pilates; prenatal-postnatal; strength-training; stretching,aerial; gym-time; yoga; pilates; prenatal-postnatal; strength-training; stretching,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
BeatRoot Productions,ChIJw1I5x0oXLxgRCZmP7P5qh2g,"Universal TOWERS, 3rd Floor Mogotio Rd, Nairobi, Kenya",,-1.2642985,36.80772899999999,http://www.karunanilayam.org/,https://maps.google.com/?cid=7532106544923515145,5,(20),aerial; dance; yoga,aerial; dance; yoga,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Karuna Nilayam Yoga Studio,ChIJVbJSirAXLxgR2PElvpXOeE0,"Universal TOWERS, 3rd Floor Mogotio Rd, Nairobi, Kenya",,-1.2643443,36.8077506,http://www.karunanilayam.org/,https://maps.google.com/?cid=5582438880661336536,5,(1),aerial; yoga; stretching,aerial; yoga; stretching,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Sky And Earth Retreats,ChIJqdOYTdkXLxgR-2NUFfNj_-k,"Kolobot Rd, Nairobi, Kenya",,-1.2697434,36.8167458,https://skyandearthretreats.com/,https://maps.google.com/?cid=16861305425584481275,4.5,(4),aerial; yoga; stretching,aerial; yoga; stretching,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Ashtanga Yoga,ChIJE-euv_YXLxgRir8w3iwEgLA,"PRRC+VP7, Fifth Parklands Ave, Nairobi, Kenya",Parklands,-1.2578017,36.8217249,https://instagram.com/lornajaimes?igshid=OGQ5ZDc2ODk2ZA==,https://maps.google.com/?cid=12718169938447089546,,,aerial; yoga,aerial; yoga,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
Panarts Technology Kenya Limited,ChIJrZ8sMpMRLxgR4hD9WRFYZyA,"Suite 6, Kenya Society for The Blind Building, Barclay House, Mai Mahiu Rd, Nairobi, Kenya",,-1.3148877,36.817587,http://www.panartstechnology.co.ke/,https://maps.google.com/?cid=2334931763362336994,4.5,(17),aerial,aerial,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Get a magnificent aerial view of the expansive Nairobi game Park from a balcony,ChIJh8IxC64RLxgRldhNEo9JzOs,"Nairobi, Kenya",,-1.3173949,36.8306237,https://www.us.despegar.com/hotels/h-5611529,https://maps.google.com/?cid=16991036372998281365,,,aerial,aerial,fallback_original,rejected,0.25,establishment; lodging; point_of_interest,[object Object]
Artika Dance Studios,ChIJ0-OMf2oRLxgRv6InaASNuSQ,"Adlife Plaza, Nairobi, Kenya",,-1.2949183,36.7873453,https://artikahub.com/dance,https://maps.google.com/?cid=2646301306123690687,5,(26),dance,dance,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Kamata Music School,ChIJOR_r5hIXLxgR9FfIRzzYtXM,"Queensway House, Kaunda St, Nairobi, Kenya",,-1.2851874,36.8234086,https://www.kamataschool.com/,https://maps.google.com/?cid=8337808038560290804,4.9,(1062),dance; prenatal-postnatal,dance; prenatal-postnatal,fallback_original,rejected,0.25,establishment; point_of_interest; school,[object Object]
